kind,code,class_name,prof,room1,room2,date1,date2,start,end,kwan
교필,AK00179,디지털리터러시(내용:데이터활용및분석),이하규,6206,,금,,10:00,11:50,정보과학관
교필,AK00179,디지털리터러시(내용:컴퓨팅적사고와문제해결),이상윤,7309,,금,,10:00,11:50,새천년관
교필,AK00179,디지털리터러시(내용:컴퓨팅적사고와문제해결),곽승우,7202,,금,,10:00,11:50,새천년관
교필,AK00179,디지털리터러시(내용:컴퓨팅적사고와문제해결),공준욱,M402,,금,,10:00,11:50,미가엘관
교필,AK00183,전공진로세미나(인문융합1반),김혜인,7301,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(인문융합2반),김아름,7302,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(인문융합3반),윤영도,7303,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(경영1반),송재민,7301,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(경영2반),김용미,7302,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(사회융합1반),황준서,7303,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(사회융합2반),이상철,7305,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(사회융합3반),김태경,7306,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(사회융합4반),최정태,7304,,금,,14:00,14:50,새천년관
교필,AK00183,전공진로세미나(미디어융합1반),윤장열,7305,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(미디어융합2반),이원정,7306,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(미디어융합3반),오세현,7304,,금,,13:00,13:50,새천년관
교필,AK00183,전공진로세미나(미래융합1반),김수림,6404,,금,,14:00,14:50,정보과학관
교필,AK00183,전공진로세미나(미래융합2반),곽승우,6206,,금,,14:00,14:50,정보과학관
교필,AK00183,전공진로세미나(소프트웨어융합1반),김선형,6404,,금,,13:00,13:50,정보과학관
교필,AK00183,전공진로세미나(소프트웨어융합2반),김명철,6206,,금,,13:00,13:50,정보과학관
교필,AK00183,전공진로세미나(소프트웨어융합3반),박정식,3301,,금,,13:00,13:50,월당관
